Sheet,Section,Category,Requirement,Article Reference,Description,Implementation Status,Priority,Responsible Party,Target Date,Current Status,Gap Analysis,Action Required,Evidence/Documentation,Notes
Executive Summary,Overview,Regulatory Overview,DORA Introduction,Art. 1,Digital Operational Resilience Act implementation for financial entities,Not Started,High,Chief Risk Officer,2024-12-31,Planning,Full framework needed,Develop comprehensive DORA strategy,Regulatory text review,EU regulation effective January 2025
Executive Summary,Overview,Scope,Applicable Entities,Art. 2,Credit institutions investment firms insurance companies,Not Started,High,Legal Department,2024-10-31,Assessment,Entity classification needed,Confirm DORA applicability,Legal opinion,Include all subsidiaries
Executive Summary,Overview,Timeline,Implementation Deadline,Art. 64,Compliance required by January 17 2025,Not Started,Critical,Program Management Office,2024-12-31,Planning,6 months remaining,Accelerate implementation,Project timeline,Consider phased approach

ICT Risk Management,Framework,Governance,ICT Risk Management Framework,Art. 6,Establish comprehensive ICT risk management framework,Not Started,High,IT Risk Manager,2024-11-30,Planning,Framework development needed,Create ICT risk framework,Framework document,Align with existing risk frameworks
ICT Risk Management,Framework,Governance,Board Oversight,Art. 6,Board and senior management oversight of ICT risks,Not Started,High,Board of Directors,2024-10-15,Planning,Board education needed,Conduct board training,Board minutes,Include ICT risk in board agenda
ICT Risk Management,Framework,Strategy,ICT Strategy,Art. 6,Define ICT strategy aligned with business strategy,Not Started,High,CTO,2024-11-15,Planning,Strategy development needed,Develop ICT strategy,Strategy document,Link to business objectives
ICT Risk Management,Framework,Risk Appetite,ICT Risk Appetite,Art. 6,Define ICT risk appetite and tolerance levels,Not Started,High,Chief Risk Officer,2024-11-30,Planning,Risk appetite definition needed,Define risk thresholds,Risk appetite statement,Quantify risk limits
ICT Risk Management,Framework,Policies,ICT Risk Policies,Art. 6,Establish ICT risk management policies,Not Started,Medium,IT Risk Manager,2024-12-15,Planning,Policy development needed,Create risk policies,Policy documents,Regular policy reviews

ICT Risk Management,Controls,Asset Management,ICT Asset Inventory,Art. 8,Maintain comprehensive ICT asset inventory,Not Started,High,IT Asset Manager,2024-10-31,Planning,Asset discovery needed,Implement asset management,Asset register,Include all ICT assets
ICT Risk Management,Controls,Asset Management,Asset Classification,Art. 8,Classify ICT assets based on criticality and sensitivity,Not Started,High,IT Security Manager,2024-11-15,Planning,Classification scheme needed,Develop classification framework,Classification matrix,Risk-based approach
ICT Risk Management,Controls,Change Management,ICT Change Management,Art. 8,Implement robust ICT change management processes,Not Started,Medium,IT Operations Manager,2024-11-30,Planning,Process enhancement needed,Strengthen change controls,Change management procedures,Include risk assessment
ICT Risk Management,Controls,Configuration Management,Configuration Management,Art. 8,Maintain secure configuration of ICT systems,Not Started,Medium,IT Security Manager,2024-12-15,Planning,Configuration standards needed,Develop security baselines,Configuration standards,Automated compliance checking
ICT Risk Management,Controls,Patch Management,Security Patch Management,Art. 8,Implement timely security patch management,Not Started,High,IT Security Manager,2024-10-31,Planning,Patch process improvement,Enhance patch management,Patch management policy,Critical patch SLAs

ICT Risk Management,Monitoring,Risk Monitoring,Continuous Risk Monitoring,Art. 8,Continuously monitor ICT risks and controls,Not Started,High,IT Risk Manager,2024-11-30,Planning,Monitoring tools needed,Deploy risk monitoring,Monitoring dashboard,Real-time risk visibility
